Organization Name,Organization Name URL,SEMrush - Monthly Visits,Number of Contacts,Operating Status,Company Type,Last Funding Date,Full Description,Last Funding Type,Founded Date,Founded Date Precision,Industries,Headquarters Location,Description,CB Rank (Company),Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Investors,Top 5 Investors,Number of Lead Investors,Website,Headquarters Regions,Estimated Revenue Range,Twitter,Facebook,LinkedIn,Number of Investments,Number of Lead Investments,Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),Number of Founders,Number of Employees,Founders
Laplace Labs,https://www.crunchbase.com/organization/laplace-labs-db76,,,Active,For Profit,2023-10-01,"A Game Changing AI native productivity operation system, more flexible and smarter",Pre-Seed,2023-08-25,day,"Artificial Intelligence (AI), Information Technology, Software","Lake Forest, California, United States",AI Natiave Productivity OS/Platform,"70,242",500000,USD,500000,1000000,USD,1000000,2,"Device of Tomorrow Capital, Metis Themis Insights",1,http://www.laplacelab.ai,"Greater Los Angeles Area, West Coast, Western US",,,,,,,,,,1,11-50,Guanxi Yi
Pezzo,https://www.crunchbase.com/organization/pezzo-e133,"2,789",,Active,For Profit,2023-06-01,"Pezzo is an open-source AI development toolkit for developers and teams to harness the potential of AI models and applications. Pezzo.ai tackles the inherent challenges that accompany AI operations. Developers can now identify and resolve issues effortlessly, saying goodbye to the frustration typically associated with debugging AI models. This streamlined approach not only reduces downtime but also significantly boosts productivity.",Pre-Seed,2023-05-01,month,"Artificial Intelligence (AI), Open Source, Software","San Francisco, California, United States",Pezzo is an open-source AI development toolkit for developers and teams to harness the potential of AI models and applications.,"71,084",20000,USD,20000,20000,USD,20000,1,Techstars,,https://pezzo.ai,"San Francisco Bay Area, West Coast, Western US",,https://twitter.com/PezzoAI,,https://www.linkedin.com/company/pezzo-ai,,,,,,2,1-10,"Ariel Weinberger, Matan Abramovich"
Arbit,https://www.crunchbase.com/organization/arbit-0ed6,,,Active,For Profit,2023-03-30,,Pre-Seed,2023-04-01,month,"Artificial Intelligence (AI), E-Commerce, Machine Learning, Marketplace","Tulsa, Oklahoma, United States",Arbit is a sneaker resell marketplace that uses AI to help people buy and sell at the right time and price.,"71,964",1000000,USD,1000000,1000000,USD,1000000,2,"Atento Capital, Lightship Capital",1,https://getarbit.com/,Southern US,,,,https://www.linkedin.com/company/getarbit,,,,,,2,1-10,"Venita Cooper, Vincent Sanders"
Zentarim Corp.,https://www.crunchbase.com/organization/zentarim-corp,,,Active,For Profit,2023-11-05,"Zentarim Corp revolutionizes global logistics by seamlessly integrating advanced technologies. Leveraging the power of blockchain, smart contracts, and AI, we transport goods with unmatched efficiency and cost-effectiveness. Our mission goes beyond delivery – we're committed to empowering individuals, helping them navigate the challenges of inflation, and ensuring that essential goods, like computer parts, reach their destinations reliably.",Pre-Seed,2023-11-05,day,"Air Transportation, Artificial Intelligence (AI), Blockchain, Logistics, Shipping, Shipping Broker","Dover, Delaware, United States",Zentarim Corp revolutionizes global logistics by seamlessly integrating advanced technologies.,"74,442",200000,USD,200000,200000,USD,200000,1,Atrahasis Capital,,https://zentarim.xyz/,"East Coast, Southern US",,,,,,,,,,,11-50,
Destined AI,https://www.crunchbase.com/organization/destined-ai,,,Active,For Profit,2023-10-09,,Pre-Seed,2023-08-30,day,"Artificial Intelligence (AI), Computer Vision, Information Technology, Machine Learning, Software","Atlanta, Georgia, United States",Detect unwanted bias in AI.,"78,292",120000,USD,120000,126000,USD,126000,1,Techstars,,https://destined.ai,"Greater Atlanta Area, East Coast, Southern US",Less than $1M,https://twitter.com/destinedai,,https://www.linkedin.com/company/destined-ai,,,,,,1,1-10,Gerald Carter
Covered,https://www.crunchbase.com/organization/covered-e3c2,,,Active,For Profit,2024-02-25,"Covered is a groundbreaking application that integrates AI-driven health advice, insurance guidance, and real-time health monitoring. By connecting with various health devices and considering users' current insurance status, Covered offers a full-spectrum view of personal health management. This app is designed to empower users with precise, proactive health insights and to simplify the process of choosing the best-suited health insurance plans.",Pre-Seed,2024-01-01,day,"Artificial Intelligence (AI), Generative AI, Health Care, Health Insurance, Personal Health, Software","San Diego, California, United States",AI-Powered Health Insurance Advisor,"79,566",,,,,USD,,,,,,"Greater San Diego Area, West Coast, Western US",,,,https://www.linkedin.com/company/coveredhealth/about/?viewAsMember=true,,,,,,2,1-10,"Greg Marmulak, Mark Krause"
PodcastAI,https://www.crunchbase.com/organization/podcastai,"1,076",,Active,For Profit,2023-11-12,PodcastAI is an upcoming Podcast artificial intelligence project. PodcastAI's mission is to reduce the time and cost it takes to produce a podcast episode by up to 80%.,Pre-Seed,2023-04-04,day,"Artificial Intelligence (AI), Podcast","Wilmington, Delaware, United States",PodcastAI's mission is to reduce the time and cost it takes to produce a podcast episode by up to 80%.,"81,242",25000,USD,25000,25000,USD,25000,1,Founder University,1,https://podcastai.com,"Greater Philadelphia Area, East Coast, Southern US",,https://twitter.com/getpodcastai,https://www.facebook.com/getpodcastai,https://www.linkedin.com/company/getpodcastai/about/,,,,,,2,1-10,"Edward Brawer, Sean Duncombe"
MyMagic AI,https://www.crunchbase.com/organization/mymagic-ai,,,Active,For Profit,2023-09-01,We assemble infinitely scalable and high-performance distributed compute clusters worldwide for a batch inference for any open source LLMs. enabling batch inference abd fine-tuning at scale with open-source models at a cost of 2 to 4 times cheaper than any other solutions in the market. Check us out at https://mymagic.ai/ or get in touch with artur@mymagic.ai and vitali@mymagic.ai,Pre-Seed,2023-05-07,day,Artificial Intelligence (AI),"San Francisco, California, United States",Batch Inference for any open source LLM on a distributed compute,"81,388",200000,USD,200000,200000,USD,200000,1,Berkeley SkyDeck Fund,,https://mymagic.ai/,"San Francisco Bay Area, West Coast, Western US",,,,https://www.linkedin.com/company/mymagic-ai,,,,,,,1-10,
WriteHuman,https://www.crunchbase.com/organization/writehuman,,,Active,For Profit,2024-02-08,WriteHuman is a web-based artificial intelligence writing tool designed to avoid AI detection.,Grant,2024-01-01,year,Artificial Intelligence (AI),"Midlothian, Virginia, United States",WriteHuman is a web-based artificial intelligence writing tool designed to avoid AI detection.,"81,749",20000,USD,20000,20000,USD,20000,1,Lighthouse Labs RVA,1,https://writehuman.ai,"East Coast, Southern US",,https://twitter.com/WriteHumanAI,https://www.facebook.com/people/WriteHuman,,,,,,,,,
The Secure AI Corporation,https://www.crunchbase.com/organization/the-secure-ai-corporation,,,Active,For Profit,2023-09-18,"Secure AI (https://secureai.us) is an enterprise Artificial Intelligence (AI) platform for the U.S. Defense sector. Our flagship product is a secure alternative to ChatGPT that runs locally on-premise (without internet), so user data is NEVER shared. This allows our customers to use Large Language Models (LLMs) safely with their sensitive, proprietary – even classified – data. Our users generate software and contract proposals faster with our software, increasing corporate productivity and revenue.",Pre-Seed,2023-07-07,day,"Artificial Intelligence (AI), Generative AI, Software","Santa Barbara, California, United States",SaaS AI,"82,289",500000,USD,500000,500000,USD,500000,1,Night Capital,1,https://secureai.us,"West Coast, Western US",,,,https://www.linkedin.com/company/secure-ai-corp/,,,,,,1,1-10,Gaemus Collins
ogre.run,https://www.crunchbase.com/organization/ogre-run,,,Active,For Profit,2023-09-11,"ogre.run is an AI-based code dependency hypervisor. For developers, ogre.run automates the management of the software dependencies that enable your code to run on any machine. Differently from traditional devops tools that rely on humans to do the heavy lifting of curating a list of dependencies, ogre.run has AI at its core, decreasing ""dependency hunting"" from hours to minutes. ogre.run relies on the combination of graph analysis and large language models (LLMs). The latter are fine-tuned by our AI team to master the understanding of the software dependency graph from an input source code.",Pre-Seed,2023-09-01,day,"Artificial Intelligence (AI), Information Technology, Software","Tulsa, Oklahoma, United States","Developer Tools, SaaS","82,370",60000,USD,60000,60000,USD,60000,1,Alchemist Accelerator,,https://ogre.run,Southern US,,,,https://www.linkedin.com/company/99110549/admin/feed/posts/,,,,,,1,1-10,Wilder Lopes
AthleteIQ,https://www.crunchbase.com/organization/athleteiq,,,Active,For Profit,2024-01-01,AthleteIQ is an AI fitness wearable startup with the goal of enhancing human performance in order to build better athletes. We are developing a reusable patch for strength-training that measures muscle strain and recovery and allows users to optimize their workout and avoid injuries.,Pre-Seed,2024-01-01,year,"Artificial Intelligence (AI), Fitness, Software, Sports","San Francisco, California, United States",Sports Wearables and Artificial Intelligence,"85,140",250000,EUR,275915,250000,EUR,275916,2,"Entrepreneur First, Transpose Platform Management",,https://www.athlete-iq.net/,"San Francisco Bay Area, West Coast, Western US",,,,https://www.linkedin.com/company/athleteiq-ai/,,,,,,2,1-10,"Leonardo Garofalo, Sophie Defauw"
Ycotek,https://www.crunchbase.com/organization/ycotek,,1,Active,For Profit,2023-09-20,"Ycotek is a AI driven professional services firm committed to helping our clients reach their vision in the most innovative and efficient manner. We offer expertise in Cloud Enablement, Application development, Data, Analytics & Artificial Intelligence.",Seed,2023-09-01,month,"Artificial Intelligence (AI), Cloud Data Services, Cloud Management, Consulting, Information Technology","Saint Paul, Minnesota, United States","We are a nimble, AI powered, Global consulting firm. You can gain competitive advantage with our AI Driven, Dynamic, Global Delivery model.","85,736",450000,USD,450000,450000,USD,450000,,,,https://ycotek.ai/,"Greater Minneapolis-Saint Paul Area, Great Lakes, Midwestern US",,,,https://www.linkedin.com/company/ycotek,,,,,,1,1-10,Jeewan Singh
Mobgames.ai,https://www.crunchbase.com/organization/mobgames-ai,,,Active,For Profit,2023-05-01,,Seed,2023-04-01,day,"Artificial Intelligence (AI), Software","Lewes, Delaware, United States",Artificial Intelligence video game development tools,"87,643",500000,USD,500000,758000,USD,758000,,,,https://mobgames.ai/,"East Coast, Southern US",,,,https://www.linkedin.com/company/mobgames-ai/,,,,,,,1-10,
Umwelt PeopleTech Solutions Inc,https://www.crunchbase.com/organization/umwelt-peopletech-solutions-private-limited,,,Active,For Profit,2023-12-08,"Umwelt.ai is AI powered Employee Engagement and People Analytics SAAS platform that helps CEOs and CHROs reduce attrition, boost employee engagement and transform culture by leveraging psychology and technology. At Umwelt.AI, we have developed Nikki, a virtual engagement assistant who listens to, analyzes, and enables HR Partners to act on employee feedback in Real-time, using behavioral science, NLP, ML, and RPA. Nikki identifies employees who may be unhappy, under stress, or about to leave, and provides HR partners and leaders with real-time actionable insights to take proactive and data-driven actions. We are changing the way Employee Engagement is done to bring happiness to lives of People by making them more successful at work and help Companies generate ROI of over 30X.",Pre-Seed,2023-06-08,day,"Artificial Intelligence (AI), Human Computer Interaction, Human Resources, Information Technology, Machine Learning, Predictive Analytics, SaaS, Software","Seattle, Washington, United States",SaaS based Employee Engagement and People Analytics Platform,"88,543",125000,USD,125000,125000,USD,125000,1,Upekkha AI SaaS Fund and Accelerator,1,https://umwelt.ai,"Greater Seattle Area, West Coast, Western US",,,,https://www.linkedin.com/in/umwelt-peopletech/,,,,,,1,1-10,Vishal Chopra
Verbaly,https://www.crunchbase.com/organization/verbaly,402,1,Active,For Profit,2023-08-23,"Verbaly is a B2C & B2B web application offering a humanized AI speech coach that records, evaluates, and trains its users to verbally communicate more effectively in job interviews, public speeches, sales calls, and workplace collaboration.",Pre-Seed,2023-03-01,month,"Artificial Intelligence (AI), Consumer, Speech Recognition","Mountain View, California, United States","The AI speech coach to replace Toastmasters. Professionals can practice, and refine key presentations, interviews, and conversations.","91,578",25000,USD,25000,50000,USD,50000,2,"LAUNCH, Founder University",2,https://www.verbaly.ai?src=crunchbase,"San Francisco Bay Area, Silicon Valley, West Coast",,https://twitter.com/verbalyai,,https://www.linkedin.com/company/verbaly/,,,,,,2,,"Bill Trevillyan, Rajat Bansal"
Holistic Intelligence for Global Good,https://www.crunchbase.com/organization/holistic-intelligence-for-global-good,,1,Active,For Profit,2023-08-27,,Pre-Seed,2023-07-05,day,"Artificial Intelligence (AI), Education, Health Care, STEM Education","Kirkland, Washington, United States","Stealth R&D incubator for high impact, AI-enabled processes","97,147",50000,USD,50000,50000,USD,50000,,,,https://holistic-intelligence.org/team/,"Greater Seattle Area, West Coast, Western US",,,,https://www.linkedin.com/company/holistic-intelligence-for-global-good/,,,,,,,1-10,
Catenary Robotics,https://www.crunchbase.com/organization/catenary-robotics,,,Active,For Profit,2023-09-01,"Catenary Robotics sells and services cutting-edge delivery, service, and cleaning robots across a wide range of industries. With a passion for innovation and a commitment to excellence, we are dedicated to revolutionizing the way your business operates by harnessing the power of robotics. We are an authorized reseller and service center for Pudu Technology the leading manufacturer of autonomous service, delivery, and cleaning robots. At Catenary Robotics, our mission is to drive efficiency, enhance productivity, and elevate customer experiences through the deployment of state-of-the-art delivery and cleaning robots. We believe in the transformative potential of robotics to streamline operations across various sectors, from restaurants and schools to factories, retail stores, hospitals, and hotels.",Seed,2023-09-01,day,"Artificial Intelligence (AI), Industrial Automation, Robotics","Amherst, New York, United States","Catenary Robotics sells and services cutting-edge delivery, service, and commercial cleaning robots across a wide range of industries.","97,821",50000,USD,50000,50000,USD,50000,1,Catenary Partners,,https://catenaryrobotics.com/,"East Coast, Northeastern US",,https://twitter.com/CatenaryRobots,https://www.facebook.com/profile.php?id=61551363553148,https://www.linkedin.com/company/catenary-robotics,,,,,,,1-10,
LucciAI,https://www.crunchbase.com/organization/lucciai,"5,622",,Active,For Profit,2023-08-01,"LucciAI Inc. is an artificial intelligence company that has created Lucci, a virtual assistant designed to help users improve their productivity on a daily basis. Lucci can be integrated with popular messaging apps like WhatsApp, and understands multilingual voice memos, documents, and images. Productivity, consultation, recreation, social media, and smart home plugins further enhance Lucci's functionality. LucciAI also provides API development tools to implement Lucci into business software applications, with customization options to train Lucci to automate processes and mimic company workflows.",Undisclosed,2023-09-20,day,"Artificial Intelligence (AI), Virtual Assistant","Miami, Florida, United States","LucciAI Inc. is an AI assistant that helps improve productivity through integration with messaging apps, plugins, and API tools.","98,345",120000,USD,120000,120000,USD,120000,,,,https://lucci.ai,"Greater Miami Area, East Coast, Southern US",,,https://www.facebook.com/profile.php?id=61552320203429,,,,,,,1,1-10,Jose Carlos Castro
Best of AI,https://www.crunchbase.com/organization/best-of-ai,"16,438",,Active,For Profit,2023-06-10,,Pre-Seed,2023-06-01,day,"Artificial Intelligence (AI), Information Services, Internet","Sheridan, Wyoming, United States",Find the best AI tools for any task with the largest AI database online and become an AI powered professional.,"99,558",100000,USD,100000,100000,USD,100000,1,Perfect Equity,,https://bestofai.com,Western US,,https://twitter.com/bestofaidaily,https://facebook.com/bestofaidaily,,,,,,,3,1-10,"Adam Whiting, Jason Knott, Jeff Lerner"
Screenify,https://www.crunchbase.com/organization/screenify,,,Active,For Profit,2023-08-21,,Pre-Seed,2023-09-01,month,"Artificial Intelligence (AI), Information Technology, Recruiting, Software","San Francisco, California, United States",Screenify is an AI powered interactive and automated audio/video interviewing platform,"103,317",175000,USD,175000,175000,USD,175000,1,Antler,,https://screenify.ai,"San Francisco Bay Area, West Coast, Western US",,,,https://www.linkedin.com/company/screenifyai,,,,,,1,1-10,Karan Jain
KnightFall,https://www.crunchbase.com/organization/knightfall,,,Active,For Profit,2023-08-01,"KnightFall specializes in creating custom ChatGPT prompts, helping businesses communicate effectively using AI. By understanding each brand's unique voice and objectives, we design conversational solutions that merge technological prowess with authentic engagement, ensuring every interaction resonates with the intended audience.",Seed,2023-08-01,day,"Analytics, Artificial Intelligence (AI), Consulting","Denver, Colorado, United States","KnightFall crafts tailored ChatGPT prompts for businesses, enhancing AI-driven communications to align with brand values.","107,299",500000,USD,500000,500000,USD,500000,,,,https://www.knightfall.ai/,"Greater Denver Area, Western US",,,,https://www.linkedin.com/company/knightfall/about/,,,,,,1,1-10,Bradley Enrici
Rask AI,https://www.crunchbase.com/organization/rask-ai,,,Active,For Profit,,"Rask AI is a translation solution that enables businesses and content producers to translate their videos into more than 60 languages. The company is based in Dover, DE.",,2023-04-01,month,"Artificial Intelligence (AI), EdTech, Generative AI, SaaS","Dover, Delaware, United States",Rask AI is a translation solution that enables businesses and content producers to translate their videos into more than 60 languages.,"108,738",,,,,,,,,,https://www.rask.ai,"East Coast, Southern US",,https://twitter.com/rask_ai,,https://www.linkedin.com/company/rask-ai/,,,,,,1,51-100,Maria Chmir
Decrackle AI,https://www.crunchbase.com/organization/decrackle-ai,,,Active,For Profit,2023-08-08,"Decrackle is an innovative AI-driven audio enhancement platform that empowers content creators, businesses, and individuals to achieve professional-grade audio quality. By removing background noise, enhancing speech clarity, and offering advanced features like real-time enhancement and transcription services, Decrackle ensures your audio content is crystal-clear and impactful. With Decrackle, you can transform ordinary audio into extraordinary experiences, capturing the attention of your audience and elevating the overall quality of your content.",Pre-Seed,2023-04-04,day,"Artificial Intelligence (AI), Audio, Speech Recognition","Delaware, New Jersey, United States",Decrackle is an innovative AI-driven audio enhancement platform,"112,792",15000,USD,15000,15000,USD,15000,,,,https://www.decrackle.io/,"East Coast, Northeastern US",,https://twitter.com/decrackle,,https://www.linkedin.com/company/decrackle/,,,,,,1,1-10,Pranshul Saxena
LANS,https://www.crunchbase.com/organization/lans-730c,,,Active,For Profit,,"Lans is an American San Francisco-based company creating a marketplace for work-from-spaces. Lans develops, markets, and operates a  mobile application that allows consumers to access workspaces on demand. On the other hand, Lans dashboard helps third-party providers manage their workspaces. The mission is to integrate technology, sustainability, and human-centric design to create environments that enhance productivity, foster creativity, and promote well-being for the future of work.",,2023-11-15,day,"Artificial Intelligence (AI), Coworking, Marketplace, Mobile Apps, PropTech, Retail Technology, SaaS, Software","San Francisco, California, United States",Marketplace for work-from-spaces,"114,737",,,,,,,,,,https://lans.com,"San Francisco Bay Area, West Coast, Western US",,,,https://www.linkedin.com/company/lansinc/,,,,,,1,1-10,Tahsin Aktas
Blumen Systems,https://www.crunchbase.com/organization/blumen-systems,,,Active,For Profit,2023-04-04,"Blumen is an early-stage technology company building software to streamline the regulatory challenges associated with upstream natural resources production in the US. We are focused on producers building and utilizing land-based assets powering the energy transition including carbon sequestration, geothermal, critical minerals, hydrogen, and RNG projects.",Pre-Seed,2023-03-16,day,"Artificial Intelligence (AI), Energy, Software","San Francisco, California, United States",Blumen builds software powering clean energy development and mineral exploration.,"115,070",1250000,USD,1250000,1250000,USD,1250000,7,"Caffeinated Capital, Haystack, First Star Ventures, Susa Ventures, Amit Narayan",1,https://www.blumensystems.com,"San Francisco Bay Area, West Coast, Western US",,,,,,,,,,1,1-10,Hannes Boehning
Tiny Fish,https://www.crunchbase.com/organization/tiny-fish,,,Active,For Profit,2023-06-23,"Tiny Fish is redefining how we interact with the web and apps. We're building the infrastructure for tomorrow, making it simple for anyone to create AI agents that enhance daily tasks. Our mission is to let machines working together to make life easier.",Seed,2023-06-01,month,"Artificial Intelligence (AI), Cloud Computing, Information Technology, Internet, PaaS, Software, Web Development","Palo Alto, California, United States","Tiny Fish is redefining how we interact with the web and apps, making it simple for anyone to create AI agents that enhance daily tasks.","115,644",,,,,USD,,1,Mango Capital,,http://tinyfish.io,"San Francisco Bay Area, Silicon Valley, West Coast",,,,https://www.linkedin.com/company/95728009,,,,,,2,11-50,"Keith Zhai, Shuhao Zhang"
AiWriter,https://www.crunchbase.com/organization/aiwriter,,,Active,For Profit,2023-10-09,"AIWriter allows users to input information about their idea, brand, product, or service, and the AI generates content in seconds. AIWriter offers an advanced text editor that supports rich text formatting real-time suggestions and corrections for grammar, punctuation, and style while users are editing. The company stands at the forefront of artificial intelligence, pioneering innovative solutions in AI content generation, article writing, topic research, and in-depth analysis.",Series A,2023-07-01,day,Artificial Intelligence (AI),"Lincoln, Delaware, United States","AIWriter allows users to input information about their idea, brand, product, or service, and the AI generates content in seconds.","116,188",150000,USD,150000,150000,USD,150000,,,,https://aiwriter.co.in/,"East Coast, Southern US",,,,,,,,,,1,11-50,Pranab Sharma
Everyday Agents,https://www.crunchbase.com/organization/everyday-agents,,7,Active,For Profit,2023-06-01,"Everyday Agents is a stealth startup backed by four top venture firms that is reimagining the way consumers travel. The company is building an AI-native Travel Concierge that simplifies the process of discovering, planning, and booking trips, all in one app. It’s like having a personal travel agent, but better, as it’s affordable, available 24/7, responds within seconds, and is armed with local insights, captivating photos, maps, itineraries, pricing, and availability. The explosion of travel booking sites is sucking the fun out of getting away with their maze of disjointed self-serve transactions that leave travelers needing to visit dozens of websites to plan a trip. By pioneering breakthroughs in Agent Architectures and leveraging the latest advancements in Large Language Models (LLMs), Everyday Agents is poised to revolutionize the travel industry by helping consumers craft exquisite, personalized travel experiences. Led by a 3X AI founder who’s raised over $100M and a data leader from Stitch Fix, the company is backed by former executives from Pinterest, Twitter, and Stitch Fix along with AI-focused venture funds, including SignalFire.",Seed,2023-06-01,month,"Artificial Intelligence (AI), Big Data, Consumer, Consumer Software, Machine Learning, SaaS","San Francisco, California, United States","We're building an AI-native Travel Concierge that simplifies the process of discovering, planning, and booking trips, all in one app.","117,897",,,,,USD,,7,"SignalFire, Moxxie Ventures, Fuel Capital, SNR.vc, Common Metal",,http://app.everydayagents.ai,"San Francisco Bay Area, West Coast, Western US",,,,https://www.linkedin.com/company/everyday-agents,,,,,,3,11-50,"Bassam Aoun, Cian Menzel-Jones, Jonathan Downey"
AWS Impact Accelerator,https://www.crunchbase.com/organization/aws-impact-accelerator,"150,262",2,Active,For Profit,,"The AWS Startup Loft is here to support your journey. Start and grow with a wealth of resources, exclusive webinars and free 1:1 sessions with an AWS startup expert.",,2023-04-04,day,"Finance, Financial Services, Funding Platform, Generative AI","Seattle, Washington, United States",AWS Impact Accelerator invests in underrepresented founder companies.,"122,426",,,,,,,,,,https://aws-startup-lofts.com,"Greater Seattle Area, West Coast, Western US",,,,https://www.linkedin.com/company/aws-startup-loft-accelerator/,61,57,,,10,,10001+,
AI Product Plaza,https://www.crunchbase.com/organization/ai-product-plaza,,,Active,For Profit,2023-05-20,"AI Product Plaza is an innovative online marketplace that focuses exclusively on AI products. Our platform brings together AI enthusiasts, technology professionals, and everyday consumers to explore a vast array of AI-centric products that range from smart gadgets to AI-themed apparel.",Pre-Seed,2023-05-21,day,"Artificial Intelligence (AI), E-Commerce","Charleston, South Carolina, United States",AI Product Plaza is an innovative online marketplace that focuses exclusively on AI products.,"122,724",3000,USD,3000,3000,USD,3000,,,,https://aiproductplaza.com/,"East Coast, Southern US",,,,,,,,,,1,1-10,ALIF VASAYA
TaxGPT,https://www.crunchbase.com/organization/taxgpt,"1,735",,Active,For Profit,2023-10-01,TaxGPT uses artificial intelligence and tax information to automate tax filing.,Pre-Seed,2023-03-01,month,"Artificial Intelligence (AI), FinTech","San Francisco, California, United States",TaxGPT uses artificial intelligence and tax information to automate tax filing.,"125,256",,,,,USD,,5,"Gaingels, LAUNCH, Flight Ventures, Jason Calacanis, Peggy Grigus Mangot",,https://www.taxgpt.com,"San Francisco Bay Area, West Coast, Western US",,https://twitter.com/home,https://www.facebook.com/profile.php?id=100094529918148,https://www.linkedin.com/company/taxgpt,,,,,,1,1-10,Kashif Ali
Returned.com,https://www.crunchbase.com/organization/returned-com,,1,Active,For Profit,2023-11-01,"Returned.com is a consumer-centric startup founded in 2023 to revolutionize the tedious returns process for shoppers. By leveraging a patent pending AI platform to handle all return logistics, the company aims to ease consumer frustrations and position itself as a leading end-to-end returns solution focused entirely on simplicity for the customer.",Pre-Seed,2023-03-01,month,"Apps, Artificial Intelligence (AI), E-Commerce, E-Commerce Platforms, Generative AI, Logistics, Retail, Retail Technology, Shipping, Shopping","Boulder, Colorado, United States",Returned.com is a consumer-centric return AI mobile app leveraging patent pending tech.,"126,599",,,,,USD,,,,,https://returned.com,"Greater Denver Area, Western US",,https://twitter.com/returnedcom,,https://www.linkedin.com/company/returnedcom/,,,,,,4,11-50,"Danielle Crider, Eliza Lin, Patrick Justis, Paul Lin"
Biografika,https://www.crunchbase.com/organization/biografika,,,Active,For Profit,2023-06-01,"Biografika makes it exceptionally easy to create and share personal biographies. Our target market is family & personal history, including the $3.5 Billion (2022) genealogy industry.",Pre-Seed,2023-06-01,day,"CivicTech, Communities, Family, Generative AI, Social Impact","New York, New York, United States",Platform for collecting and sharing biographies of people whom we love and admire,"127,754",50000,USD,50000,50000,USD,50000,1,Anonymous Angel,1,https://biografika.me/,"Greater New York Area, East Coast, Northeastern US",,,,,,,,,,1,1-10,Louis N. Bickford
Swarmbotics AI,https://www.crunchbase.com/organization/swarmbotics-ai,439,1,Active,For Profit,2023-11-13,"Natural language-driven, low cost robots for industry and defense.",Pre-Seed,2023-06-01,month,"Artificial Intelligence (AI), Autonomous Vehicles, Computer Vision, Military, National Security, Robotics","Phoenix, Arizona, United States",Ground swarm robotics for industry and defense.,"128,613",,,,,USD,,4,"Soma Capital, Silent Ventures, Quiet Capital, LMNT Ventures",1,https://www.swarmbotics.ai,"Greater Phoenix Area, Western US",,https://twitter.com/swarmboticsai,,https://www.linkedin.com/company/swarmbotics-ai,,,,,,2,1-10,"Drew Watson, Stephen Houghton"
Persec,https://www.crunchbase.com/organization/persec,,,Active,For Profit,2023-03-10,"Persec is a pioneering content platform, driven by AI and enhanced through adaptive learning. Designed to intuitively align with your brand's voice and objectives, it delivers consistently refined content outcomes.",Pre-Seed,2023-03-02,day,"Artificial Intelligence (AI), Information Technology, Machine Learning, Software","San Diego, California, United States",Persec is an innovative technology startup specializing in providing secure and personalized AI solutions.,"130,609",25000,USD,25000,25000,USD,25000,,,,https://persec.ai,"Greater San Diego Area, West Coast, Western US",,,,https://www.linkedin.com/company/persec-ai/,,,,,,3,1-10,"Andriy Leliv, Kostyantyn Pshenychnyy, Oleg Bondar"
Residua AI,https://www.crunchbase.com/organization/residua-ai,,,Active,For Profit,2024-02-28,,Pre-Seed,2024-01-01,month,"Artificial Intelligence (AI), Machine Learning, Software","New York, New York, United States",A selective AI co-presence that you can summon from anywhere into your digital world.,"132,352",,,,,USD,,0,,,https://residua.ai/,"Greater New York Area, East Coast, Northeastern US",,https://twitter.com/ResiduaAI,,,,,,,,2,1-10,"Carmen Gutierrez, Jon Morales"
Muah AI,https://www.crunchbase.com/organization/muah-ai,,,Active,For Profit,,Leading AI Companion/Girlfriend platform with latest cutting edge multi-modal AI technology solutions.,,2023-04-20,day,"Artificial Intelligence (AI), Information Technology, Software","Los Angeles, California, United States",AI Companion Platform,"132,673",,,,,,,,,,https://muah.ai,"Greater Los Angeles Area, West Coast, Western US",,https://twitter.com/Muah_AI,https://www.facebook.com/MuahAILove/,https://www.linkedin.com/company/muahai/,,,,,,1,1-10,Harvard Han
Creatify AI,https://www.crunchbase.com/organization/creatify-ai,,,Active,For Profit,,"At Creatify, we're democratizing the way businesses create video ads. Our AI-powered platform simplifies the ad creation process, enabling anyone to effortlessly craft high-quality, engaging video ads in minutes. Just enter a product link or upload visuals and descriptions, and let Creatify do the magic. We're dedicated to helping businesses maximize their marketing potential without the traditional constraints of time, resources, or video production expertise. With Creatify, you gain access to an AI-powered script generator, one-click rendering, a vast selection of voices and avatars, and a library of high-quality stock footage. Our platform is not just about creating ads; it's about empowering businesses to test unlimited ad variations, find the ones that resonate most with their audience, and significantly increase ROI. Join us in this journey of transforming digital advertising and experience the future of video marketing with Creatify.",,2023-07-18,day,Artificial Intelligence (AI),"Mountain View, California, United States",Create engaging video ads with the help of AI,"135,099",,,,,,,,,,https://www.creatify.ai/,"San Francisco Bay Area, Silicon Valley, West Coast",,https://twitter.com/CreatifyLab,,https://www.linkedin.com/company/creatify-ai/,,,,,,,1-10,
Termina,https://www.crunchbase.com/organization/termina-58c1,173,,Active,For Profit,,,,2023-08-01,month,"Artificial Intelligence (AI), Big Data, Financial Services, Venture Capital","Menlo Park, California, United States",Applied AI for Quant Diligence,"137,982",,,,,,,,,,https://termina.ai,"San Francisco Bay Area, Silicon Valley, West Coast",,https://twitter.com/terminaai,,https://www.linkedin.com/company/95748187,,,,,,4,,"Alex Chee, Arjun Sethi, Jake Ellowitz, Kamo Asatryan"
